"","GEOID","NAME","NAME_city","State","over18","paf","livesSaved"
"1","22051021500","Census Tract 215, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",1999,-0.130487812098669,2.08676109108191
"2","22051021601","Census Tract 216.01, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",1486,-0.137500657019587,1.63460781064885
"3","22051022601","Census Tract 226.01, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",1706,-0.138468281726247,1.88981510899982
"4","22051029500","Census Tract 295, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",2411,-0.125393229930587,2.41858461890116
"5","22051020305","Census Tract 203.05, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",2200,-0.0983864394599161,1.73160133449452
"9","22051020206","Census Tract 202.06, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",3128,-0.105442062071418,2.63858216127517
"10","22051029800","Census Tract 298, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",2632,-0.113136479703953,2.38220171664644
"12","22051030100","Census Tract 301, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",2798,-0.11900132832079,2.66372573313255
"13","22051023003","Census Tract 230.03, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",1803,-0.147389659151354,2.12594844359913
"15","22051023600","Census Tract 236, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",3169,-0.142884019125008,3.62239565285721
"16","22051023300","Census Tract 233, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",1198,-0.153832128057932,1.47432711530722
"17","22051021400","Census Tract 214, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",1365,-0.141083688394491,1.54063387726784
"18","22051023400","Census Tract 234, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",2144,-0.151982604673963,2.60680563536782
"22","22051020400","Census Tract 204, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",2216,-0.125803784294964,2.23024948798111
"24","22051021300","Census Tract 213, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",2136,-0.130434200831049,2.22885962380096
"25","22051023500","Census Tract 235, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",3121,-0.150234369803762,3.75105174526033
"28","22051028400","Census Tract 284, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",3358,-0.127734408257797,3.43145714343747
"29","22051029300","Census Tract 293, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",2917,-0.147012193295637,3.43067654274698
"30","22051029400","Census Tract 294, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",2140,-0.0979559993425774,1.67700670874492
"31","22051020205","Census Tract 202.05, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",2581,-0.0761994677071955,1.57336660921817
"32","22051030000","Census Tract 300, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",1358,-0.130867166878919,1.42174090097258
"33","22051030300","Census Tract 303, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",2126,-0.0811938980156435,1.38094581745006
"34","22051020204","Census Tract 202.04, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",1947,-0.0877088069702836,1.36615237736914
"36","22051030200","Census Tract 302, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",2246,-0.137053460710199,2.46257658204085
"37","22051029600","Census Tract 296, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",4003,-0.0979123654341534,3.13554559066333
"38","22051029700","Census Tract 297, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",1973,-0.0851389348279901,1.343832947325
"40","22051021602","Census Tract 216.02, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",724,-0.142180281422349,0.823508189998246
"42","22051029200","Census Tract 292, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",2855,-0.141244323431668,3.22602034717931
"44","22051023004","Census Tract 230.04, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",2920,-0.130407594494429,3.04632140738986
"45","22051024801","Census Tract 248.01, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",1598,-0.135672458916302,1.73443671478601
"46","22051029100","Census Tract 291, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",2592,-0.142286302903868,2.95044877701461
"48","22051028500","Census Tract 285, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",2625,-0.130385384949847,2.73809308394678
"49","22051029000","Census Tract 290, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",2312,-0.141079596461251,2.6094082161473
"50","22051028600","Census Tract 286, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",1539,-0.126116683240583,1.55274860405806
"51","22051029900","Census Tract 299, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",2980,-0.109090695860276,2.60072218930897
"52","22051023700","Census Tract 237, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",1468,-0.14683593812079,1.72444125729055
"53","22051028800","Census Tract 288, Jefferson Parish, Louisiana","Metairie CDP","Louisiana",2720,-0.116054002685958,2.52533509844645
